acs_release_year,acs_window,GEOID,NAME,median_household_income,poverty_rate_pct,renter_occupied_pct,age_65_plus_pct,elderly_living_alone_pct,disability_pct,nonwhite_pct,limited_english_households_pct,count_age_65_plus,count_elderly_living_alone,count_disabled,count_nonwhite,count_limited_english_households
2021,2017-2021,31109000100,"Census Tract 1, Lancaster County, Nebraska",43656,9.78,39.99,19.21,39.31,21.3,7.01,0.0,608,239,672,222,0
2021,2017-2021,31109000201,"Census Tract 2.01, Lancaster County, Nebraska",65240,10.49,36.39,15.71,53.15,13.54,9.47,0.58,730,388,621,440,12
2021,2017-2021,31109000202,"Census Tract 2.02, Lancaster County, Nebraska",38600,28.66,66.37,9.55,44.21,10.1,16.98,0.64,380,168,402,676,10
2021,2017-2021,31109000300,"Census Tract 3, Lancaster County, Nebraska",43506,21.1,68.72,8.43,37.54,14.12,20.46,0.0,349,131,581,847,0
2021,2017-2021,31109000400,"Census Tract 4, Lancaster County, Nebraska",41103,33.53,65.38,7.29,51.17,10.98,36.44,5.66,426,218,642,2130,119
2021,2017-2021,31109000500,"Census Tract 5, Lancaster County, Nebraska",32935,47.1,89.12,4.08,64.42,11.98,22.81,3.15,104,67,303,582,33
2021,2017-2021,31109000600,"Census Tract 6, Lancaster County, Nebraska",38317,56.55,100.0,0.0,,4.59,16.39,0.0,0,0,283,1010,0
2021,2017-2021,31109000700,"Census Tract 7, Lancaster County, Nebraska",32619,27.36,77.95,7.54,29.47,9.85,55.06,17.97,190,56,248,1387,207
2021,2017-2021,31109000800,"Census Tract 8, Lancaster County, Nebraska",41609,32.25,55.53,5.67,48.26,16.4,31.93,9.65,230,111,665,1295,151
2021,2017-2021,31109000900,"Census Tract 9, Lancaster County, Nebraska",44467,20.69,59.93,10.78,48.85,11.61,22.42,4.41,348,170,375,724,65
2021,2017-2021,31109001001,"Census Tract 10.01, Lancaster County, Nebraska",55250,16.05,31.65,15.0,28.35,6.86,10.25,3.01,455,129,208,311,38
2021,2017-2021,31109001002,"Census Tract 10.02, Lancaster County, Nebraska",49485,8.15,81.64,13.53,31.84,10.94,24.24,2.22,245,78,196,439,23
2021,2017-2021,31109001003,"Census Tract 10.03, Lancaster County, Nebraska",54631,10.49,74.07,11.74,40.87,16.65,22.85,4.05,460,188,652,895,77
2021,2017-2021,31109001101,"Census Tract 11.01, Lancaster County, Nebraska",71500,8.28,28.39,18.54,12.06,11.31,11.81,0.0,854,103,521,544,0
2021,2017-2021,31109001102,"Census Tract 11.02, Lancaster County, Nebraska",71118,10.33,14.69,15.46,36.15,9.54,12.54,0.0,520,188,321,422,0
2021,2017-2021,31109001200,"Census Tract 12, Lancaster County, Nebraska",76250,6.37,32.81,13.7,28.59,8.27,11.09,0.0,878,251,530,711,0
2021,2017-2021,31109001301,"Census Tract 13.01, Lancaster County, Nebraska",70428,5.72,38.52,37.85,36.98,16.71,5.8,1.05,1344,497,590,206,18
2021,2017-2021,31109001302,"Census Tract 13.02, Lancaster County, Nebraska",91667,2.58,8.54,23.99,32.91,8.93,11.14,1.58,717,236,267,333,19
2021,2017-2021,31109001400,"Census Tract 14, Lancaster County, Nebraska",60351,9.59,25.31,21.59,32.85,15.35,8.45,2.39,956,314,658,374,46
2021,2017-2021,31109001500,"Census Tract 15, Lancaster County, Nebraska",60160,9.04,32.58,14.5,24.92,8.54,13.87,2.38,662,165,377,633,44
