acs_release_year,acs_window,GEOID,NAME,median_household_income,poverty_rate_pct,renter_occupied_pct,age_65_plus_pct,elderly_living_alone_pct,disability_pct,nonwhite_pct,limited_english_households_pct,count_age_65_plus,count_elderly_living_alone,count_disabled,count_nonwhite,count_limited_english_households
2024,2020-2024,31109000100,Census Tract 1; Lancaster County; Nebraska,48425,12.81,43.52,18.42,47.52,23.51,13.49,1.38,665,316,846,487,22
2024,2020-2024,31109000201,Census Tract 2.01; Lancaster County; Nebraska,55791,16.37,37.26,20.92,51.05,15.41,10.31,2.12,909,464,658,448,44
2024,2020-2024,31109000202,Census Tract 2.02; Lancaster County; Nebraska,45597,23.77,63.71,10.48,63.9,14.05,17.19,2.09,410,262,550,673,33
2024,2020-2024,31109000300,Census Tract 3; Lancaster County; Nebraska,55339,19.87,76.68,8.61,50.8,16.16,39.95,5.11,374,190,702,1735,102
2024,2020-2024,31109000400,Census Tract 4; Lancaster County; Nebraska,47457,30.89,55.51,8.47,54.27,16.06,34.53,5.34,468,254,886,1909,112
2024,2020-2024,31109000500,Census Tract 5; Lancaster County; Nebraska,38152,40.28,92.9,4.16,70.91,24.3,36.76,3.41,110,78,634,972,47
2024,2020-2024,31109000600,Census Tract 6; Lancaster County; Nebraska,43750,63.68,95.65,0.0,,14.37,15.23,0.0,0,0,919,974,0
2024,2020-2024,31109000700,Census Tract 7; Lancaster County; Nebraska,50000,20.84,76.83,14.16,52.23,12.54,60.96,9.92,358,187,317,1541,122
2024,2020-2024,31109000800,Census Tract 8; Lancaster County; Nebraska,56775,27.64,49.87,4.71,34.21,12.92,46.98,6.91,190,65,521,1895,103
2024,2020-2024,31109000900,Census Tract 9; Lancaster County; Nebraska,58118,15.34,66.09,9.54,26.07,14.1,25.96,3.17,349,91,516,950,51
2024,2020-2024,31109001001,Census Tract 10.01; Lancaster County; Nebraska,69398,17.74,25.77,15.3,24.8,11.61,14.87,3.51,500,124,379,486,47
2024,2020-2024,31109001002,Census Tract 10.02; Lancaster County; Nebraska,46944,9.4,85.14,13.55,37.78,10.48,18.01,1.02,270,102,204,359,12
2024,2020-2024,31109001003,Census Tract 10.03; Lancaster County; Nebraska,65448,11.43,70.81,12.15,56.62,19.4,24.57,3.06,468,265,747,946,62
