OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,GEOID_1,NAME_1,P1_001N,P1_002N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P1_010N,P1_011N,P1_012N,P1_013N,P1_014N,P1_015N,P1_016N,P1_017N,P1_018N,P1_019N,P1_020N,P1_021N,P1_022N,P1_023N,P1_024N,P1_025N,P1_026N,P1_027N,P1_028N,P1_029N,P1_030N,P1_031N,P1_032N,P1_033N,P1_034N,P1_035N,P1_036N,P1_037N,P1_038N,P1_039N,P1_040N,P1_041N,P1_042N,P1_043N,P1_044N,P1_045N,P1_046N,P1_047N,P1_048N,P1_049N,P1_050N,P1_051N,P1_052N,P1_053N,P1_054N,P1_055N,P1_056N,P1_057N,P1_058N,P1_059N,P1_060N,P1_061N,P1_062N,P1_063N,P1_064N,P1_065N,P1_066N,P1_067N,P1_068N,P1_069N,P1_070N,P1_071N,P2_001N,P2_002N,P2_003N,P2_004N,P2_005N,P2_006N,P2_007N,P2_008N,P2_009N,P2_010N,P2_011N,P2_012N,P2_013N,P2_014N,P2_015N,P2_016N,P2_017N,P2_018N,P2_019N,P2_020N,P2_021N,P2_022N,P2_023N,P2_024N,P2_025N,P2_026N,P2_027N,P2_028N,P2_029N,P2_030N,P2_031N,P2_032N,P2_033N,P2_034N,P2_035N,P2_036N,P2_037N,P2_038N,P2_039N,P2_040N,P2_041N,P2_042N,P2_043N,P2_044N,P2_045N,P2_046N,P2_047N,P2_048N,P2_049N,P2_050N,P2_051N,P2_052N,P2_053N,P2_054N,P2_055N,P2_056N,P2_057N,P2_058N,P2_059N,P2_060N,P2_061N,P2_062N,P2_063N,P2_064N,P2_065N,P2_066N,P2_067N,P2_068N,P2_069N,P2_070N,P2_071N,P2_072N,P2_073N,ShapeSTArea,ShapeSTLength
1,31,109,002900,31109002900,29,Census Tract 29,G5020,S,27111026,653756,+40.8696972,-096.6482338,1400000US31109002900,31109002900,"Census Tract 29, Lancaster County, Nebraska",5603,5135,4184,319,66,337,0,229,468,443,142,63,59,2,147,10,4,0,2,1,0,9,2,2,0,25,6,1,0,9,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5603,596,5007,4712,4000,309,43,333,0,27,295,279,129,47,58,2,25,10,4,0,0,0,0,0,2,2,0,16,6,1,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298889222.117481,77141.7477610641
2,31,109,003402,31109003402,34.02,Census Tract 34.02,G5020,S,6214243,44655,+40.8023619,-096.7366210,1400000US31109003402,31109003402,"Census Tract 34.02, Lancaster County, Nebraska",6698,6080,4651,525,70,485,8,341,618,582,145,76,96,2,236,3,7,0,1,1,0,12,3,0,0,36,16,6,1,0,1,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6698,810,5888,5524,4492,508,14,480,8,22,364,341,136,61,96,2,32,3,7,0,0,1,0,0,3,0,0,23,13,6,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67377306.4449103,36654.8771852446
3,31,109,003608,31109003608,36.08,Census Tract 36.08,G5020,S,4364313,0,+40.7389407,-096.7103890,1400000US31109003608,31109003608,"Census Tract 36.08, Lancaster County, Nebraska",1389,1305,1205,33,3,30,0,34,84,76,16,3,16,0,40,0,0,0,0,0,0,0,1,0,0,7,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,83,1306,1255,1179,33,1,30,0,12,51,45,16,3,16,0,9,0,0,0,0,0,0,0,1,0,0,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46982015.4774003,29533.5277582951
4,31,109,003721,31109003721,37.21,Census Tract 37.21,G5020,S,2612754,0,+40.7769777,-096.6156583,1400000US31109003721,31109003721,"Census Tract 37.21, Lancaster County, Nebraska",4245,4012,3716,55,17,187,0,37,233,218,33,33,45,2,97,0,0,0,7,1,0,0,0,0,0,12,3,1,0,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4245,207,4038,3898,3658,45,9,184,0,2,140,135,30,33,41,2,24,0,0,0,4,1,0,0,0,0,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28126398.981163,21195.5540696654
5,31,109,003723,31109003723,37.23,Census Tract 37.23,G5020,S,2584162,0,+40.7624845,-096.6348097,1400000US31109003723,31109003723,"Census Tract 37.23, Lancaster County, Nebraska",3545,3349,3139,43,18,96,6,47,196,186,25,35,31,1,85,4,2,0,0,0,0,0,0,3,0,10,0,3,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3545,136,3409,3257,3091,39,9,96,6,16,152,148,25,33,31,1,49,4,2,0,0,0,0,0,0,3,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27818650.981841,21023.8122981518
6,31,109,003724,31109003724,37.24,Census Tract 37.24,G5020,S,2594133,0,+40.7624729,-096.6157059,1400000US31109003724,31109003724,"Census Tract 37.24, Lancaster County, Nebraska",4275,4082,3785,36,15,226,1,19,193,188,28,43,42,0,68,2,3,0,2,0,0,0,0,0,0,4,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4275,126,4149,4010,3740,34,9,226,0,1,139,138,26,42,42,0,23,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27925967.3563089,21150.9671739013
7,31,109,003726,31109003726,37.26,Census Tract 37.26,G5020,S,10350454,0,+40.7119155,-096.6634262,1400000US31109003726,31109003726,"Census Tract 37.26, Lancaster County, Nebraska",2819,2669,2404,50,9,183,1,22,150,143,31,22,21,3,61,1,0,0,1,0,0,2,0,0,1,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2819,105,2714,2621,2386,47,4,183,1,0,93,88,30,22,20,3,11,0,0,0,1,0,0,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111423130.144608,41920.9964718559
8,31,109,003725,31109003725,37.25,Census Tract 37.25,G5020,S,10415106,0,+40.7118282,-096.6252915,1400000US31109003725,31109003725,"Census Tract 37.25, Lancaster County, Nebraska",3392,3215,2997,33,4,153,0,28,177,168,20,26,26,1,89,0,0,0,5,0,0,1,0,0,0,9,2,0,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3392,111,3281,3151,2955,33,0,153,0,10,130,122,20,21,26,1,50,0,0,0,4,0,0,0,0,0,0,8,2,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112119081.541628,42306.1030991624
9,31,109,010401,31109010401,104.01,Census Tract 104.01,G5020,S,116260318,1924020,+40.6468196,-096.6390135,1400000US31109010401,31109010401,"Census Tract 104.01, Lancaster County, Nebraska",4830,4657,4591,23,4,12,2,25,173,167,12,49,27,1,76,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4830,115,4715,4588,4546,23,4,12,2,1,127,126,12,46,27,1,38,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272260457.41879,149907.62342689
10,31,109,002702,31109002702,27.02,Census Tract 27.02,G5020,S,3559398,0,+40.7674167,-096.6611338,1400000US31109002702,31109002702,"Census Tract 27.02, Lancaster County, Nebraska",5714,5348,4903,182,32,138,4,89,366,353,101,94,29,0,116,5,1,0,3,0,0,0,0,3,1,13,3,1,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5714,304,5410,5165,4804,176,25,135,4,21,245,236,97,80,29,0,22,5,1,0,0,0,0,0,0,2,0,9,3,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38317084.1973944,33109.2794501528
